Title, Alternate Title, Year, MOvie or TV, qedcat page, IMDB number, Math stars, Comments
"""Crazy First Love""","""Cheotsarang Sasu Gwolgidaehoe""",2003,MO,,0364262,2,"""Tae-il has worked feverishly on his school exams,to win the hand of Il-mae. He wails about the maths he has endured:'What are all the criticial points, if there are any,of the function  k(t) equals 1 divided by the square root of  t squared plus 1.Answer. It's critical point is (0,1)!'"""
"""Creepshow""",,1982,MO,,0083767,2,"""Somebody at a party is introduced as a mathematician."""
"""Croupier""",,1998,MO,,0159382,2,"""Jack haggles with a car dealer over  his used car:'How about 1500?' 'How about 500?'. 'What!?' 'How about we split the difference? 750.' 'Is that your idea of arithmetic?' 'I'm not a mathematician.' <a href='http://www.math.harvard.edu/~knill/mathmovies/'>Clip on Oliver Knill's page.</a>"""
"""Cube""",,1997,MO,cube.html,0123755,5,"""Six people wake up in a deadly maze, full of mathematical clues."""
"""Cube 2: Hypercube""",,2002,MO,cube2.html,0285492,5,"""A new bunch of victims in a new deadly maze,this time supposedly a hollow  hypercube."""
"""Cutting Class""",,1989,MO,,0097136,3,"""A teen slasher flick. At one point, thekiller sets the heroes a word problem involving trains, the answer indicating whichdoor leads to safety. The heroes get it wrong."""
"""The Da Vinci Code""",,2006,MO,,0382625,3,"""The Fibonacci sequence makes an appearance in various scenes. <a href='http://www.math.harvard.edu/~knill/mathmovies/'>Clip on Oliver Knill's page</a>."""
"""D.A.R.Y.L.""",,1985,MO,,0088979,1,"""Daryl is a robot in the form of a child. He has ahabit of correcting the last decimal place of a person's calculation."""
"""The Dam Busters""",,1955,MO,dam_busters.html,0046889,2,"""Some vaguely mathematical bits in this movie about the famous bouncing bombs used by the British in WWII. <a href='http://www.math.harvard.edu/~knill/mathmovies/'>Clip on Oliver Knill's page</a>."""
"""Dangerous Sex Date""","""Amorestremo""",2001,MO,,0303645,2,"""A movie consisting of 89 minutes of sex and murder, and 3 seconds of Riemann Christoffel symbols."""
"""The Darwin Awards""",,2006,MO,,0428446,2,"""Harvey is a cautious man.  70% of accidents occur over the speed limit: allowing for a 10% error, he drives 35 in a 45 zone. Winona Ryder endures the explanation, and Billy Joel's 'Slow down, you crazy child ...' playing in the background."""
"""Dark Matter""",,2007,MO,,0416675,2,"""Excellent movie about a Chinese student who comes to America to do a PhD in cosmology. A little maths in the background."""
"""Dawn Anna""",,2005,MO,,0406695,2,"""The main character is a mathematics teacher. A few blackboards, and a bit of discussion of linear equations."""
"""The Day after Tomorrow""",,2004,MO,,0319262,1,"""The teenage hero is introduced as a precocious maths student."""
"""The Day of the Beast""","""El Dia de la Bestia""",1995,MO,,0112922,3,"""The three heroes are trying to piece together a message from the devil consisting of a some letters written on individual pieces of paper: 'My God.' 'There are hundreds of combinations.' 'Thousands of millions. There are 15 letters. A permutation of 15 elements with three letters repeated twice, and two letters repeated three times, giving us a total of 4,540,536,000 possibilities' (which is correct). Meanwhile, the dumbest of the three figures out the message."""
"""Day One""",,1989,TV,,0097159,2,"""Story of the creation of the atom bomb, featuring Einstein, Oppenheimer and co. Somegood blackboards along the way."""
"""The Day the Earth Stood Still""",,1951,MO,the_day_the_earth_stood_still.html,0043456,3,"""The alien Klaatu helps Professor Barnhardt with a mathematical problem, and a school boy with his maths homework. Great blackboard! <a href='http://www.qedcat.com/movieclips/index.html'>Clip on our maths clips page</a>."""
"""The Day the Earth Stood Still""",,2008,MO,,0970416,2,"""Awful remake, but Professor Barnhardt still gets help from Klaatu."""
"""Deadly Friend""",,1986,MO,deadly_friend.html,0090917,2,"""A robot tries all possible three-number combinations of numbers ranging from 0 to 40, with his creator commenting on the number of such combinations."""
"""Dead Poets Society""",,1989,MO,dead_poets_society.html,0097165,2,"""Robin Williams as a poetry teacher does not think much of a mathematical way to calculate the greatness of a poem."""
"""Dear Brigitte""",,1965,MO,,0059094,3,"""People wantto use a young's boy mathematical abilities to gamble on the horses, but all he wants  is to meet Brigitte Bardot. He gets his wish."""
"""Death of a Cyclist""","""Muerte de Un Ciclista""",1955,MO,,0048394,3,"""Juan Fernandez is a mathematics professor, though he's too busy having affairs and runningover cyclists to concentrate much on his maths. In one extended scene we see an examined student filling a spectacular blackboard, full of cycloids and toroidal equations."""
"""Death of a Neopolitan Mathematician""","""Morte di un Matematico Napoletano""",1992,MO,death_of_a_neapolitan.html,0104918,4,"""Story of the suicide of the Italian mathematician Renato Caccioppoli. Some nice calculus scenes and interesting insights into the world of mathematicians."""
"""Deep Rising""",,1998,MO,deep_rising.html,0118956,2,"""Funny remark about being in the middle of nowhere and heading for 'the middle of nowhere squared'. A 'you do the math' scene, involving the increasing size of murderous squid at increasing depths."""
"""Deja Vu""",,2006,MO,,0453467,2,"""A scene in which a shortcut in space-time by folding is demonstrated by folding a piece of paper. Reminiscent of a similar scene in  <i>The Event Horizon</i>."""
"""Desk Set""",,1957,MO,,0050307,2,"""Some very funny Tracy-Hepburn exchanges. 'My name is Richard Sumner'. 'Well, numerologically that's very good, there are thirteen letters in your name'.'You calculate rapidly'. 'Up to thirteen anyway'. Later Tracy tests her. 'A train started out at Grand Central,with seventeen passengers aboard and a crew of nine.At 125th Street, four got off and nine got on.At White Plains, three got off and one got on.At Chappaqua, nine got off and four got on.And at each successive stop thereafternobody got off, nobody got on till the train reached its next-to-the-last stop,where five people got off and one got on.Then it reached the terminal.''Well that's easy, eleven passengers and a crew of nine.''Uh, that's not the question.''I'm sorry.''How many people got off at Chappaqua?''Nine.''That's correct.' 'Yes, I know.' <a href='http://www.math.harvard.edu/~knill/mathmovies/'>Clip on Oliver Knill's page</a>."""
"""Despicable Me""",,2010,MO,,1323594,2,"""Vector is a villain with both direction and magnitude."""
"""Devil Girl From Mars""",,1954,MO,,0046907,1,"""Nyah describes to Professor Hennesseythe ultimate weapon: the perpetual motion chain reactor beam.  'As fast as matter wascreated, it was changed by its molecular structure into the next dimension, and so destroyed itself.'  'So there <i>is</i> a fourth dimension!'"""
"""The Devil Thumbs a Ride""",,1947,MO,,0039317,2,"""A bunch of (accurate) poker odds in onescene: 'It was a hobby of my maths professor: sort of taught me the percentages'."""
"""The Devil's Wanton""","""F&auml;ngelse""",1949,MO,devils_wanton.html,0041399,1,"""Ingmar Bergman movie with a maths teacher, but no maths."""
"""Diabolique""",,1996,MO,diabolique.html,0116095,1,"""Sharon Stone as a maths teacher, doing simple algebra in class."""
"""Les Diaboliques""",,1955,MO,diaboliques.html,0046911,2,"""Original version of the Sharon Stone movie. One of the main characters is a maths teacher. Extended scene dedicated to a boy finding the area of a regular hexagon in terms of the radius of the circumcircle."""
"""Diamonds are Forever""",,1971,MO,,0066995,1,"""James Bond commenting that smuggling 50000 carats worth of diamonds at 142 carats an ounce won't be easy."""
"""Dick Tracy""",,1990,MO,,0099422,2,"""Madonna singing a mathematical song: 'Count your blessings, one, two, three. I just hate keeping score. Any number is fine with me. As long as it's more. As long as it's more!I'm no mathematician, all I know is addition. I find counting a bore. Keep the number mounting, your accountant does the counting ...'"""
"""The Dish""",,2000,MO,,0205873,1,"""A few equations after the controllers of the Parkes radio telescope lose track of Apollo 11."""
"""Die Hard: With a Vengeance""",,1995,MO,die_hard.html,0112864,4,"""Bruce Willis and Samuel Jackson need to solve a jug problem in 30 seconds to defuse a bomb: using a 5 gallon jug a 3 gallon jug and a water fountain, fill the 5 gallon jug with 4 gallons. They also have to the famous chestnut: 'As I was going to St Ives I met a man with seven wives. Every wife had seven sacks, every sack had seven cats. Every cat had seven kittens. Kittens, cats, sacks and wives, how many were going to St Ives?' <a href='http://www.math.harvard.edu/~knill/mathmovies/'>Clips on Oliver Knill's page.</a>"""
"""Discovery of Heaven""",,2001,MO,,0251052,1,"""An astronomer sees through the Big Bang, to Heaven. There's also an isosceles triangle."""
"""A Dog Called Vengeance""","""El Perro""",1976,MO,,0075059,2,"""Incomprehensible low budget political horror movie. The main character is The Professor, a mathematician who escapes from prisonand is then pursued by a demon dog.The Professor mumbles about square roots at times, for no discernible reason."""
"""Donald in Mathmagicland""",,1959,MO,,0052751,5,"""This movie is for mathematics what Disney's <i>Fantasia</i> is for classical music. <a href='http://www.math.harvard.edu/~knill/mathmovies/'>Clip on Oliver Knill's page</a>."""
"""The  Dot and the Line""",,1965,MO,,0059122,3,"""Engaging animated story of the love between a dot and a line."""
"""The Double""",,2013,MO,,1825157,2,"""A short, funny scene supposedly using statistical inference to rule out or determine the identity of a murderer."""
"""Doubt""",,2008,MO,,0918927,2,"""The writing out of  multiplication tables is assignedas punishment (by the <i>enlightened</i> nun!). And atest is coming: 'Is it long division?' 'Among other things' 'Howmuch of it will be long division?'"""
"""The Draughtsman's Contract""",,1982,MO,,0083851,1,"""'Drawing is an attribution worth very little, and  in England worth nothing at all. If you must scribble, I suggest that your timewould be better spent in studying mathematics.'"""
"""Drawing Down the Moon""",,1997,MO,,0119018,3,"""Crazy Z-grade movie, with a margarita-swilling mathematician as the bad guy and a flaky witch as the good guy. A few fractals appear, for reasons which are hard to discern."""
"""Drowning by Numbers""",,1988,MO,drowning.html,0092929,2,"""Movie by Peter Greenaway. Girl counting from 1 to 100 while jumping rope. She is actually counting stars and stops at 100 because 'once you've counted 100 all the other hundreds are the same.' Signs counting from 1 to 100 appear throughout the movie. <a href='http://www.math.harvard.edu/~knill/mathmovies/'>Clip on Oliver Knill's page</a>."""
"""Duck Soup""",,1933,MO,duck_soup.html,0023969,1,"""Groucho and Chico have a Marxian mathematical exchange: 'Give me a number from 1 to 10'. '11'. 'Right'."""
"""Dumbo""",,1941,MO,dumbo.html,0033563,3,"""Dumbo blows a cubical bubble. Discussion of the  proportionality of the height of Dumbo's jumps, and the amount people laugh."""
"""The Edge""",,1997,MO,,0123817,1,"""Robert explains the value of having a watch with two faces: 'If I'm in L.A. and I want to know the time in New York, I don't have to go through the anguish of adding 3'."""
"""El Efecto Mariposa""","""The Butterfly Effect""",1995,MO,,0112933,1,"""Some probability talk, and a blackboard of equationsin an economics lecture."""
"""Einstein: Light to the Power of 2""",,1996,TV,,0214661,2,"""In 50's America, a young black girl gets Einsteinto help her with her maths homework. Intended for schoolchildren."""
"""The Englishman Who Went up a Hill and Came Down a Mountain""",,1995,MO,englishman.html,0112966,2,"""Villagers are trying to raise their hill by 20 feet so it will officially be a mountain. Having piled up earth to raise the height 14 feet, the pastor declares they've broken the back of the problem. He is corrected by a villager, who apparently realizes that if it keeps its shape, the volume of a cone does not depend linearly on its height."""
"""Enigma""",,2001,MO,enigma.html,0157583,2,"""This movie is about Bletchley Park and the Enigma machine. The main character is modeled after Alan Turing, but not much maths. <a href='http://www.math.harvard.edu/~knill/mathmovies/'>Clip on Oliver Knill's page</a>."""
"""The Enigma of Kaspar Hauser""","""Jeder F&uuml;r Sich und Gott Gegen Alle""",1974,MO,kaspar_hauser.html,0071691,3,"""A pompous professor presents Kaspar Hauser with a misformed version of the Liar Puzzle:given one question, how do you tell whether a person is a truthteller or a liar? Kaspar's simple and hilarious solution is to ask the person if they are a tree-frog. The professoris not amused."""
"""Entrapment""",,1999,MO,,0137494,2,"""Catherine Zeta-Jones says she wants a security clock to loose 10 seconds. She thenrigs it to loose 1/10 of a second each minute, for an hour."""
"""Eustice Solves a Problem""",,2004,MO,,,5,"""A terrific short film, set around a children's quiz program in 1958."""
"""&Eacute;variste Galois""",,1965,MO,galois.html,0205913,4,"""The romanticized story of the night before &Eacute;variste Galois's famous duel."""
"""Event Horizon""",,1997,MO,event_horizon.html,0119081,2,"""Contains a nice scene in which a scientist  folds a piece of paper to explain how bending space enables the spaceship Event Horizon to move faster than light."""
"""Evil Roy Slade""",,1972,MO,,0067072,3,"""'Let's try some arithmetic: If you had six apples and your neighbor took three of them what would you have?' 'A dead neighbor and all six apples.' <a href='http://www.qedcat.com/movieclips/index.html'>Clip on our maths clips page</a>."""
"""Eyes Wide Shut""",,1999,MO,,0120663,2,"""Carl is a mathematics professor, who appears for about three seconds. No maths."""
"""Fahrenheit 451""",,1966,MO,,0060390,2,"""In a regimented futuristic world, schoolchildren drone the nine times table(up to nine twenties). <a href='http://www.math.harvard.edu/~knill/mathmovies/'>Clip on Oliver Knill's page</a>."""
"""Fail-Safe""",,1964,MO,,0058083,2,"""Walter Matthau as a psychopath game theorist is quizzed at a dinner party. 'Two hours ago you said a hundred million dead, now you say sixty million.' 'I say sixty million is perhaps the highest price we should be prepared to pay in a war.' 'What's the difference between sixty million dead, and a hundred million?' 'Forty million.'"""
"""Fantastic Mr. Fox""",,2009,MO,,0432283,1,"""35 + 36 + 37 = 108 snipers, and the game whack bat involves dividing by 9."""
"""The Fast and the Furious: Tokyo Drift""",,2006,MO,,0463985,1,"""A couple maths class scenes, including a very quick y-intercept blooper."""
"""The Favor""",,1994,MO,favor.html,0109783,4,"""Fun romantic comedy with a mathematician as the husband (and Brad Pitt as the 'favor'). Very funny scene of the mathematician's wife trying to seduce him as he rabbits on about nonlinear dynamics. <a href='http://www.qedcat.com/movieclips/index.html'>Clips on our maths clips page.</a>"""
"""Fermat's Last Tango""",,2001,MO,,0278443,5,"""Terrific musical about Fermat's last theorem, featuring Andrew Wiles, Pythagoras, Gauss, Euclid, Newton, and a deliciously vain Pierre de Fermat."""
"""Fermat's Room""","""La Habitaci&oacute;n de Fermat""",2007,MO,,1016301,5,"""Four mathematicians are trapped in a shrinking room that can only be stopped from shrinking by solving a number of puzzles. The Goldbach conjecture plays a major role. <a href='http://www.math.harvard.edu/~knill/mathmovies/'>Clip on Oliver Knill's page</a>"""
"""A Few Days in September""","""Quelques Jours En Septembre""",2007,MO,,0446442,1,"""Orlando and David are siblings who continually fight over the cutting ofdessert in 'half'. Eventually they hit upon the strategy of one person cutting andthe other person choosing."""
"""Fight Club""",,1999,MO,,0137523,1,"""'Take the number of vehicles in the field, A, multiply it by the probable rate of failure, B, then multiply the result by the average out of court settlement, C. A times B times C equals X. If X is less than the cost of a recall, we don't do one.' 'Which car company do you work for?'"""
"""Firetrap""",,2001,MO,,0243907,1,"""An isolated scene containing a whiteboard with differential equations."""
"""5ive Days to Midnight""",,2004,TV,,0386907,2,"""A physics professor receives a briefcase from the future, containing the report of his death. His PhD student tries to helpby doing some mathematics of string theory."""
"""First Circle""",,1992,TV,first_circle.html,0101885,2,"""One of the main characters is a mathematician in a special Soviet prison for scientists."""
"""Flash Gordon""",,1980,MO,flash_gordon.html,0080745,3,"""Dr Zarkov saves the day by guessing the code of the elevator to be 'one of the prime numbers of the Zeeman series'."""
"""Flatland""",,1965,MO,,0823212,4,"""A nice animated adaptation of Edwin Abbot's famous book about a two-dimensional world. <a href='http://www.math.harvard.edu/~knill/mathmovies/'>Clip on Oliver Knill's page</a>."""
"""Flatland""","""Flatlandia""",1982,MO,,0121289,4,"""Michele Emmer's claymation adaptation of Edwin Abbot's famous book about a two-dimensional world."""
"""Flatland""",,2007,MO,,0972374,4,"""Tedious adaptation of Edwin Abbot's classic."""
"""Flatland: The Movie""",,2007,MO,,0814106,5,"""State of the art animated adaptation of Edwin Abbot's classic <i>Flatland</i>. <a href='http://www.math.harvard.edu/~knill/mathmovies/'>Clip on Oliver Knill's page.</a>"""
"""Fletch Lives""",,1989,MO,,0097366,1,"""A little funny dialogue with a character named Calculus Entropy."""
"""The Flight That Disappeared""",,1961,MO,,0054881,2,"""Crazy movie about a mathematician and scientists being tried before a celestial court."""
"""Flubber""",,1997,MO,flubber.html,0119137,3,"""Robin Williams as Professor Phillip Brainard stumbles into a life drawing class and begins lecturing about gravity. Great improvisation involving the nude models and a dead pheasant."""
"""For a Few Dollars More""",,1965,MO,,0059578,3,"""Lee Van Cleef is riding off as Clint Eastwood surveys the bodies of the outlaws, tallyingthe bounty. Realising it doesn't add up, he wheels around and shoots the remainingoutlaw. 'Any trouble, Boy?' 'No, old man. Thought I was having trouble with my adding.It's alright now.' <a href='http://www.math.harvard.edu/~knill/mathmovies/'>Clip on Oliver Knill's page</a>."""
"""Forbidden Planet""",,1956,MO,forbidden_planet.html,0049223,3,"""Dr. Morbius has mastered the language of an extinct civilization. At one point he illustrates very nicely their immense power resources, showing off  a huge exponentially calibrated sequence of meters."""
"""Force of Evil""",,1948,MO,,0040366,2,"""Gangster movie featuring an accountant called Two and Two, who's great at mental arithmetic."""
"""Freaky Friday""",,2003,MO,,0322330,3,"""Jamie Lee Curtis is caught in her daughter Anna's, Lindsay Lohan's, body. She's readinga maths exam question to herself: 'The sum of the areas of theshaded regions abovein terms of  D is equal to (a) D squared times the sum of pi divided by 4 minus D divided by 2, (b) D squared times the sum of pi cubed divided by D minus 2. Now, what is pi again? 3 point something? Oh this is ridiculous, I've never used pi. Anna'snever gonna use pi. Why's it called pi anyway? OK, focus ... Or (c) D cubed minus the sum of pi squared minus ...' <a href='http://www.qedcat.com/movieclips/index.html'>Clip on our maths clips page</a>"""
"""Freedom Man""",,1989,TV,,,3,"""The story of Benjamin Banneker, the black American mathematician (more astronomer and engineer)  from the 18th Century. It ends with a wonderful voiceover: 'My whole life has been a mathematical proof of what a black man can do. I've been a clockmaker, a farmer, an astronomer, a surveyor, an almanac writer, a mathematician. ... And I add this, and this. And I hope the sum proves something to the World.'"""
"""Fright Night""",,1985,MO,,0089175,1,"""A couple brief references to trig homework while dealing with the vampire next door."""
"""Frozen""",,2013,MO,,2294629,1,"""One of the many tedious songs contains the lines  <i><br> &nbsp; &nbsp; My power flurries through the air into the ground <br>&nbsp; &nbsp; My soul is spiraling in frozen fractals all around</i>"""
"""La Frontera""",,1991,MO,frontera.html,0101923,1,"""A maths teacher gets involved in the political violence of Chile."""
"""The Full Monty""",,1997,MO,,0119164,2,"""Gaz and his mates are contemplating how much they would make by stripping.'How many lasses were there, though?' 'Thousands, baying for blood. Ten quidand all to watch some fucking poof get his  kit off! Ten quid!''Right. Times ten quid by a thousand, right? And you've got ... yeah well, a lot. A very lot.' <a href='http://www.math.harvard.edu/~knill/mathmovies/'>Clip on Oliver Knill's page.</a>"""
"""A Funny Thing Happened on the Way to the Forum""",,1966,MO,,0060438,2,"""A couple of pretty funny one-liners."""
"""G.I. Joe: The Rise of the Cobra""",,2009,MO,,1046173,2,"""The Joes do 'spherical trigonometry', a version of the Eratosthenes trick. They have a photo of the villain  and they know when the photo was taken. The triangle made by the villainand his shadow supposedly allows them to determine where the villain is. Nice trick, though it actually only narrows down the villain's location to within a circle on the surface of the Earth. <a href='http://www.math.harvard.edu/~knill/mathmovies/'>Clip on Oliver Knill's page</a>"""
"""Galileo""",,1975,MO,,0073029,2,"""Bertolt Brecht's play of Galileo (yay!) versus the Catholich Church (boo!). No  mathematics, but we do have 'these worms of mathematicians... turn their tubes upon the sky'. Pope Urban VIII declares 'I will not set up myself against the multiplication table', then does just that."""
"""The Gambler""",,1974,MO,,0071532,2,"""2+2=5 is used as a metaphor for the gambler's belief that he can overcome the odds."""
"""George of the Jungle""",,1997,MO,,0119190,1,"""Before swinging to the rescue of a parachutist entangled in the cables of the Golden Gate Bridge, George calculates the angle and velocity of his swing."""
"""Ghost of a Chance""","""Aionios Foititis""",2001,MO,,0304076,1,"""'I'm bored.' 'Do some multiplication to pass the time. What's 410 times 20?' '1821.'"""
"""Gokusen: The Movie""",,2009,MO,,1392158,1,"""Kumiko, the yakuza maths teacher, is back in a movie version of the TV series. No maths."""
"""The Giant Claw""",,1957,MO,,0050432,3,"""Sally Caldwell is 'Mademoiselle Mathematician', helping to defeat a murderous chicken from outer space. There's some funny romantic maths banter with the hero, and some improbable spiral  interpolation to help predict the chicken's path.<a href='http://www.qedcat.com/movieclips/index.html'>Clip on our maths clips page</a>."""
"""Gifted""",,2017,MO,,4481414,5,"""Very schmaltzy but well done movie in the vein of <i>Little Man Tate</i>. Mary is a young prodigy whose mother worked on, and secretly solved, the Navier-Stokes equations. The standard funny classroom scenes, and an extended and slightly blooperish scene where Bonnie is presented with the Guassian integral to solve. No real fluid dynamics, though some PDE estimates are visible in the papers."""
"""The Girl Next Door""",,2004,MO,,0265208,2,"""The hero is a high school scholar whose plans get derailed. Various scenes with snapshots of exams and maths texts."""
"""The Glass Bottom Boat""",,1966,MO,,0060463,1,"""Rod Taylor is a scientist, who recites some nonsense algebra in his pursuit of DorisDay: 'COD plus XY to the second power plus OS, orbit shift, equalsMars and Venus joined.' 'Amazing sir. Do you think the World's ready for this?'"""
"""Good Will Hunting""",,1997,MO,GoodWill.html,0119217,5,"""Movie about a maths prodigy, with tons of mathematics.  <a href='http://www.math.harvard.edu/~knill/mathmovies/'>Clip on Oliver Knill's page</a>."""
"""Good Morning Boys""",,1937,MO,,0028945,1,"""A book called <i>Newton's Law of Gravity</i> appears, followed by some nonsensical phsyics equations."""
"""Goodbye, Mr. Chips""",,1939,MO,,0031385,2,"""A great one-liner: 'Enough of your loathsome statistics, Woman!'"""
"""Goodbye to Language""","""Adieu au Language""",2014,MO,,2400275,2,"""Some clumsy and pretentious references to the Dirac delta function, and to Bernard Riemann and the zeroes of the zeta function."""
"""Gorath""","""Yosei Gorasu""",1962,MO,,0056709,1,"""Weird sci-fi movie, where the Earth is moved to avoid a massive meteor. A few PDE's in one scene."""
"""The Grand""",,2007,MO,,0427998,2,"""Very funny fake documentary about a $10 million poker tournament.It includes a seemingly clueless maths teacher, and an autistic guy who constantlyrattles on about pot odds. There's also an  hilariously dumb TV commentator, teasedby his co-commentator. 'Think about  what this buys, Phil. It's three luxury homes, it's ten or fifteensports cars, that's countless items of jewellery.' 'And how many speedboats?''Speedboats, um, that would, uh, it would depend on the speedboat'. '$500,000 speedboat'. 'Do the maths. You can probably do it on the back of an envelope'. 'Off the top of your head'.'It's uh ... that's ... it's, it's eleven'. 'Twenty.  The answer is twenty'. 'Well, maybe I was thinking of a different kind of speedboat.' 'Or, maybe you're just a fucking idiot'."""
"""Gravesend""",,1997,MO,,0119220,2,"""'I ain't fuckin' stupid! You think I'm fuckin' stupid? You give me any fuckin' maths problem, any fuckin' maths problem!  I'll solve it right here, motherfucker!' As it happens, 2X + 12 = 39 is beyond him."""
"""Graveyard Disturbance""","""Una Notte al Cimitero Una""",1987,MO,graveyard.html,0093114,3,"""Some teenagers are trying to escape from a cemetery that loops in on itself in an impossible way. They discuss it rather weirdly, in terms of Escher and non-Euclidean geometry."""
"""The Great Man Votes""",,1939,MO,,0031392,1,"""Gregory is to be taken on a long parade to lodge his vote at the voting bootha few feet away. He objects that a straight line is the shortest distance betweentwo points."""
"""Gulliver's Travels""",,1996,TV,,0115195,2,"""Archimedes, wearing  a bath towel, runs around shouting 'Eureka!'."""
"""H. P. Lovecraft's Dreams in the Witchhouse""",,2005,TV,,0643104,3,"""A physics grad student rents a room in a very creepy house. He decides that the source of the evil is a strange, non-Euclidean corner of his room."""
"""Hands of a Murderer""",,1990,TV,,0099732,2,"""The battle between Sherlock Holmes and Moriarty is partially framed in terms of mathematics and codes. In the end, the key to the code involves no real mathematics."""
"""The Hangover""",,2009,MO,,1119646,2,"""Alan counts cards at blackjack, and we see maths equations floating through his mind.Almost none of the equations have anything to do with blackjack.  <a href='http://www.math.harvard.edu/~knill/mathmovies/'>Clip on Oliver Knill's page</a>."""
"""Hans Christian Andersen""",,1952,MO,,0044685,3,"""Danny Kaye as the charming storyteller, teaching arithmetic: 'A 2 met a 4 one day. They liked each other immediately and they danced away and got married, and all the other numbers came to their wedding'. This is contrasted with drone-singing of arithmetic facts in the classroom."""
"""The Happening""",,2008,MO,,0949731,2,"""'It's good to be a maths teacher sometimes. People are comforted by percentages'. Julian's next attempt at math-comforting involves asking a screaming woman howmuch she would have after a month if she received a penny  the first day, 2 pennies the secondday, 4 pennies the third day and so on. <a href='http://www.math.harvard.edu/~knill/mathmovies/'>Clip on Oliver Knill's page</a>."""
"""Harold & Kumar Escape From Gauntanamo Bay""",,2008,MO,,0481536,3,"""Kumar is writing a love poem called <i>The square root of 3</i>, when he is interrupted by Vanessa strugglingwith her 'fucking calculus final'. Kumar helps her with a double integral. Later, Kumarread his poem: <i><br> &nbsp; &nbsp; I fear that I will always be a lonely number, like root 3.<br> &nbsp; &nbsp;A 3 is all that's good and right.Why must my 3 keep out of sight<br> &nbsp; &nbsp; Beneath a vicious square root sign? I wish instead I were a 9.<br> &nbsp; &nbsp; For 9 could thwart this evil trickwith just some quick arithmetic.<br> &nbsp; &nbsp; I know I'll never see the sun as 1.7321.<br> &nbsp; &nbsp; Such is my reality, a sad irrationality.<br> &nbsp; &nbsp; When Hark!, what is this I see? Another square root of a three<br> &nbsp; &nbsp; Has quietly come waltzing by. Together now we multiply<br> &nbsp; &nbsp; To form a number we prefer, rejoicing as an integer.<br> &nbsp; &nbsp; We break free from our mortal bonds, and with a wave of magic wands<br> &nbsp; &nbsp; Our square root signs become unglued, and love for me has been renewed.</i><a href='http://www.math.harvard.edu/~knill/mathmovies/'>Clip on Oliver Knill's page</a>"""
"""Hauser's Memory""",,1970,TV,,0065819,2,"""Hauser  is a dying phsycisist, whosememories are implanted in Hillel, so that Hillel can recall Hauser's knowledge ofweapons research: 'F is expressed as a second order partial differential,with a peculiar symmetrical exponetial function below zero.' Alas, Hillel cannot rememberwhat F stands for.There's also a couple of spies carrying around a text on class field theory: it's not stated, but perhapsHuauser is supposed to have invented a Prime Number Missile."""
"""Here Come the Co-eds""",,1945,MO,,0037771,2,"""Lou Costello and Peggy Ryan have some funny lines in a patter song.<i>'Let's play school. Let's start out with subtraction, you'll get plentyof action!' 'I think figures have such an attraction! Let's play school.'</i>"""
"""Hercules""",,1997,MO,,0119282,3,"""Some funny scenes, with characters mistating quantities being even or odd."""
"""Hidden Figures""",,2016,MO,,4846340,4,"""Not the masterpiece people are declaring, but a polished and reasonably accurate movie about the blackwomen 'computers', in particular Katherine Johnson, who worked for NASA in the 50s and 60s. More a movie about racism than mathematics (just as <i>A Beautiful Mind</i> was a movie about schizophrenia),  but plenty of blackboards with orbital equations and (horrendous) numerical calculations.  The mathematics that is discussed is extensively simplified, phrased as the problem of the transition from an elliptical orbit to the 'parabolic' reentry. It's all more along the lines of relevant buzzwords than an accurate portrayal of the mechanics with which NASA had to come to terms."""
"""High and Low""","""Tengoku To Jigoku""",1963,MO,,0057565,2,"""Percentages of holdings in a company are calculated to see who has control. A 300 million yen ransom is demanded in specificdenominations. The cops calculate how long it would take to mark the notes."""
"""High School Musical""",,2006,TV,,0475293,3,"""The (high school!) teacher is writing up two of Ramanujan's formulas for 1/&pi;, Pochhammer symbols and all. Vanessa  immediately spots an error in the second equation,where the teacher has written  8/&pi; instead of 16/&pi;."""
"""A Hill on the Dark Side of the Moon""","""Berget P&aring; M&aring;nens Baksida""",1983,MO,,0085230,4,"""Dark movie about the mathematician Sonja Kovalevskaya, featuring some lecture theatre scenes. The mathematicians Weierstrassand Mittag-Leffler make brief appearances."""
"""Hit Me""",,1996,MO,,0116538,2,"""A low budget movie in the vein of <i>21</i> and <i>The Last Casino</i>. Sonny is hired as a blackjack player because he has 'a Masters in advancedmathematics'. As part of the testing he has to figure out 42/73; God knowswhy, but in any case he gets it wrong."""
"""Homage""",,1995,MO,homage.html,0113319,3,"""A brilliant young mathematician, with job offers from Princeton, is infatuated with a young actress. He becomes her mother's housekeeper."""
"""""",,1989,MO,shrunk_kids.html,0097523,1,"""Some whiteboards filled with maths plus a few formulas viewed through a looking glass."""
"""Hot for Teacher""","""Nuga Geunyeo-Wa Jasseulkka?""",2006,MO,,0956208,2,"""'Slanted Eyes', a sadistic maths teacher, sees his students distracted by the new, sexy teacher.One crazy scene of a student calculating logarithms, while others are forcedto cling to the blackboard."""
"""Hotel Hilbert""",,1996,MO,,0443537,4,"""A  brilliant bringing to life of David Hilbert'sidea of an infinite hotel. Packed full of references to properties and paradoxes of the infinite, all done with great atmosphere and a great sense of fun.."""
